Brand,Model,Fuel,Transmission,Body,Seats,Price,
Maruti Suzuki,Alto K10,Petrol,Manual / Auto,Hatchback,5,500000,
Maruti Suzuki,S-Presso,Petrol,Manual / Auto,Hatchback,5,500000,
Maruti Suzuki,Celerio,Petrol,Manual / Auto,Hatchback,5,600000,
Maruti Suzuki,Eeco,Petrol,Manual / Auto,MUV,7,600000,
Maruti Suzuki,Wagon R,Petrol,Manual / Auto,Hatchback,5,700000,
Maruti Suzuki,Ignis,Petrol,Manual / Auto,Hatchback,5,700000,
Maruti Suzuki,Swift,Petrol,Manual / Auto,Hatchback,5,700000,
Maruti Suzuki,Baleno,Petrol,Manual / Auto,Hatchback,5,800000,
Maruti Suzuki,Dzire,Petrol,Manual / Auto,Sedan,5,800000,
Maruti Suzuki,Fronx,Petrol,Manual / Auto,Hatchback,5,900000,
Maruti Suzuki,Brezza,Petrol,Manual / Auto,SUV,5,1000000,
Maruti Suzuki,Ertiga,Petrol,Manual / Auto,MUV,7,1000000,
Maruti Suzuki,Ciaz,Petrol,Manual / Auto,Sedan,5,1100000,
Maruti Suzuki,Grand Vitara,Hybrid,Manual / Auto,SUV,5,1300000,
Maruti Suzuki,XL6,Petrol,Manual / Auto,MUV,6,1300000,
Maruti Suzuki,Jimny,Petrol,Manual / Auto,SUV,5,1400000,
Maruti Suzuki,Invicto,Hybrid,Manual / Auto,MUV,7,2900000,
Hyundai,Grand i10 Nios,Petrol,Manual / Auto,Hatchback,5,700000,
Hyundai,Exter,Petrol,Manual / Auto,Hatchback,5,700000,
Hyundai,Aura,Petrol,Manual / Auto,Sedan,5,700000,
Hyundai,i20,Petrol,Manual / Auto,Hatchback,5,800000,
Hyundai,Venue,Petrol / Diesel,Manual / Auto,SUV,5,900000,
Hyundai,i20 N-Line,Petrol,Manual / Auto,Hatchback,5,1100000,
Hyundai,Verna,Petrol,Manual / Auto,Sedan,5,1100000,
Hyundai,Creta,Petrol / Diesel,Manual / Auto,SUV,5,1300000,
Hyundai,Venue N-Line,Petrol,Manual / Auto,SUV,5,1400000,
Hyundai,Alcazar,Petrol / Diesel,Manual / Auto,MUV,7,1700000,
Hyundai,Creta N-Line,Petrol,Manual / Auto,SUV,5,2000000,
Hyundai,Creta Electric,EV,Auto,SUV,5,2000000,
Hyundai,Tuscon,Petrol / Diesel,Manual / Auto,SUV,5,3300000,
Hyundai,IONIQ 5,EV,Auto,SUV,5,5100000,
Tata,Tiago,Petrol,Manual / Auto,Hatchback,5,600000,
Tata,Tigor,Petrol,Manual / Auto,Sedan,5,700000,
Tata,Punch,Petrol,Manual / Auto,Hatchback,5,700000,
Tata,Altroz,Petrol / Diesel,Manual / Auto,Hatchback,5,800000,
Tata,Tiago EV,EV,Auto,Hatchback,5,900000,
Tata,Nexon,Petrol / Diesel,Manual / Auto,SUV,5,900000,
Tata,Punch EV,EV,Auto,Hatchback,5,1100000,
Tata,Curvv,Petrol / Diesel,Manual / Auto,SUV,5,1100000,
Tata,Nexon EV,EV,Auto,SUV,5,1400000,
Tata,Tigor EV,EV,Auto,Sedan,5,1400000,
Tata,Harrier,Diesel,Manual / Auto,SUV,5,1700000,
Tata,Safari,Diesel,Manual / Auto,SUV,7,1800000,
Tata,Curvv EV,EV,Auto,SUV,5,2000000,
Tata,Harrier EV,EV,Auto,SUV,5,2400000,
Mahindra,XUV 3XO,Petrol / Diesel,Manual / Auto,SUV,5,900000,
Mahindra,Bolero,Diesel,Manual,SUV,5,1100000,
Mahindra,Bolero Neo,Diesel,Manual,SUV,7,1100000,
Mahindra,Thar,Petrol / Diesel,Manual / Auto,SUV,4,1300000,
Mahindra,Thar ROXX,Petrol / Diesel,Manual / Auto,SUV,5,1500000,
Mahindra,Scorpio,Diesel,Manual,SUV,5,1600000,
Mahindra,Scorpio N,Petrol / Diesel,Manual / Auto,SUV,7,1600000,
Mahindra,XUV 700,Petrol / Diesel,Manual / Auto,SUV,7,1600000,
Mahindra,XUV400 EV,EV,Auto,SUV,5,1700000,
Mahindra,BE 6,EV,Auto,SUV,5,2100000,
Mahindra,XEV 9e,EV,Auto,SUV,5,2400000,
Toyota,Glanza,Petrol,Manual / Auto,Hatchback,5,800000,
Toyota,Taisor,Petrol,Manual / Auto,Hatchback,5,900000,
Toyota,Rumion,Petrol,Manual / Auto,MUV,7,1200000,
Toyota,Urban Cruiser Hyryder,Hybrid,Manual / Auto,SUV,5,1300000,
Toyota,Innova Hycross,Hybrid,Manual / Auto,SUV,7,2200000,
Toyota,Innova Crysta,Diesel,Manual / Auto,MUV,7,2300000,
Toyota,Hilux,Diesel,Manual / Auto,SUV,5,3400000,
Toyota,Fortuner,Petrol / Diesel,Manual / Auto,SUV,7,4000000,
Toyota,Camry,Hybrid,Auto,Sedan,5,5400000,
Toyota,Vellfire,Petrol,Auto,MUV,7,13500000,
Toyota,Land Cruiser 300,Petrol / Diesel,Auto,SUV,5,25600000,
Kia,Sonnet,Petrol / Diesel,Manual / Auto,SUV,5,900000,
Kia,Syros,Petrol / Diesel,Manual / Auto,SUV,5,1100000,
Kia,Seltos,Petrol / Diesel,Manual / Auto,SUV,5,1300000,
Kia,Carens,Petrol / Diesel,Manual / Auto,MUV,7,1300000,
Kia,Carens Clavis,Petrol / Diesel,Manual / Auto,MUV,7,1300000,
Kia,Carens Clavis EV,EV,Auto,MUV,7,1900000,
Kia,Carnival,Diesel,Auto,MUV,7,7100000,
Kia,EV6,EV,Auto,SUV,5,7300000,
Kia,EV9,EV,Auto,SUV,7,14400000,
Honda,Amaze,Petrol,Manual / Auto,Sedan,5,900000,
Honda,Elevate,Petrol,Manual / Auto,SUV,5,1400000,
Honda,City,Petrol,Manual / Auto,Sedan,5,1400000,
Honda,City Hybrid,Hybrid,Auto,Sedan,5,2200000,
MG,Comet EV,EV,Auto,Hatchback,4,800000,
MG,Astor,Petrol,Manual / Auto,SUV,5,1300000,
MG,Windsor EV,EV,Auto,Hatchback,5,1600000,
MG,Hector,Petrol / Diesel,Manual / Auto,SUV,5,1600000,
MG,Hector Plus,Petrol / Diesel,Manual / Auto,SUV,7,2000000,
MG,ZS EV,EV,Auto,SUV,5,2000000,
MG,Gloster,Diesel,Auto,SUV,7,4600000,
MG,M9,EV,Auto,MUV,7,7400000,
MG,Cyberster,EV,Auto,Sedan,2,7900000,
Renault,Kwid,Petrol,Manual / Auto,Hatchback,5,500000,
Renault,Kiger,Petrol,Manual / Auto,SUV,5,700000,
Renault,Triber,Petrol,Manual / Auto,MUV,7,700000,
Volkswagen,Virtus,Petrol,Manual / Auto,Sedan,5,1300000,
Volkswagen,Taigun,Petrol,Manual / Auto,SUV,5,1300000,
Volkswagen,Tiguan R-Line,Petrol,Auto,SUV,5,5700000,
Volkswagen,Golf GTI,Petrol,Auto,Hatchback,5,5900000,
Nissan,Magnite,Petrol,Manual / Auto,SUV,5,700000,
Nissan,X-Trail,Petrol,Auto,SUV,7,5500000,
Skoda,Kylaq,Petrol,Manual / Auto,SUV,5,900000,
Skoda,Slavia,Petrol,Manual / Auto,Sedan,5,1200000,
Skoda,Kushaq,Petrol,Manual / Auto,SUV,5,1200000,
Skoda,Kodiaq,Petrol,Auto,SUV,7,5200000,
Jeep,Compass,Diesel,Manual / Auto,SUV,5,2200000,
Jeep,Meridian,Diesel,Manual / Auto,SUV,7,2800000,
